unit_id	section	source_text_en	source_text_sha256	row	column	paragraph	status	target_fi
S4A-2026-033	respiratory	Needs to use oxygen for much of the day and night.	16b7ffb4566568735f445007a90b206e7051187169f0a14d5c2302ffb1c6fc79	31	1	0	UNTRANSLATED	
S4A-2026-034	dementia_or_frailty	Has poor control of bladder and bowels.	ee85bfdd3adc62c869acaa94fca31314a483269c0459128809a2dc1ba3199063	33	0	0	UNTRANSLATED	
S4A-2026-035	respiratory	Has needed treatment with a breathing machine in hospital.	03dc5cede7282aba176529d454a95cc5428d817357dbffc5dbaaaa5c9262cb81	33	1	0	UNTRANSLATED	
S4A-2026-036	dementia_or_frailty	Not able to communicate by speaking; not responding much to other people.	69688aa05b30b967ed5ed973c91cae039d2ff3f7130f894e0184addb81c60884	35	0	0	UNTRANSLATED	
S4A-2026-037	dementia_or_frailty	Frequent falls; fractured femur.	96324a612d8a141623f99119fea92e7043689d4744fe0d6bbead80d2cd8aa182	37	0	0	UNTRANSLATED	
S4A-2026-038	dementia_or_frailty	Frequent infections; pneumonia	99ecdde88af547bde3129601476f3b323e511474ef069349752fe59866e61df8	39	0	0	UNTRANSLATED	
S4A-2026-039	nervous_system	Nervous system problems	5c3d417084d24c372a80dcc69467cc7d378715635bedd894b9bcbc3369dc071e	41	0	0	UNTRANSLATED	
S4A-2026-040	other_conditions_and_actions	Other conditions	76be1cc7c5b8be144dbd59555fa0b57a080e2e7bcbeedb0845e61c69a1fb0c0a	41	1	0	UNTRANSLATED	
S4A-2026-041	nervous_system	Physical and mental health are getting worse.	c0da68998a98e8a4b62feac9d288b1324608a923e07936e501368f525b478fa9	43	0	0	UNTRANSLATED	
S4A-2026-042	other_conditions_and_actions	People who are less well with other life shortening physical or mental illnesses or health conditions. There is no treatment available or it will not work well.	d19219bbd6660dba90264b527df0573d44b9374e279181ff43baa7592d8d1169	43	1	0	UNTRANSLATED	
S4A-2026-043	nervous_system	More problems with speaking and communicating; swallowing is getting worse.	9fe2e73f548c64d0fd73941103a61bd789543c15a871c027617567cea69c7dbe	45	0	0	UNTRANSLATED	
S4A-2026-044	other_conditions_and_actions	What we can do to help this person and their family.	3de4716eb33b41c98155657b801a05859fefe5fda817a3744076e38e39ab74d5	45	1	0	UNTRANSLATED	
S4A-2026-045	nervous_system	Chest infections or pneumonia; breathing problems.	e6f4042ff1dd7f0560ebe0676573b533335874aa799c08b7701a94b72bcbf75d	47	0	0	UNTRANSLATED	
S4A-2026-046	other_conditions_and_actions	Start talking with the person and their family or carer about help needed now and why making plans is important in case things change.	fc1e70c2a5d6055d43bd6e968d068c53e30374d1c0f46ff989b1d85d18584bd6	47	1	0	UNTRANSLATED	
S4A-2026-047	nervous_system	Ongoing disability with increasing physical and/or mental health problems after one or more strokes.	f3cb22010d9566918b33bf98f2e3bbd44976fe1c2a638f3d561a2c8cb3c36d37	49	0	0	UNTRANSLATED	
S4A-2026-048	other_conditions_and_actions	Ask for help and advice from a nurse, doctor, social worker or other staff if the person or family needs a review of their care and support.	88456f1d645cbb8c2b727c914d1aea3db6974b82608a1d99c43f68ac4868bff8	49	1	0	UNTRANSLATED	
S4A-2026-049	care_actions	We look at the person’s medicines and other treatments to give the best care. Holistic care includes symptoms, emotional, social, functional, financial, spiritual, cultural problems.	bbf8762a42a6a44aacc9121173ad6e4c5578384ec72e3f25ebee38e11f6be4f3	51	1	0	UNTRANSLATED	
S4A-2026-050	care_actions	Ask for specialist help if symptoms or problems are difficult to manage.	ea006ba91f098733a23dacdda2893c980aabebc7414528de20a2ec009d628520	53	1	0	UNTRANSLATED	
S4A-2026-051	care_actions	Care plans are shared with staff who need to see them and kept up to date.	886e103145f4e3545e3196a255762f45c8e5724745af06ba5f39463b40df39fb	55	1	0	UNTRANSLATED	
S4A-2026-052	document_footer	SPICT – 4ALL 2026	0a78ae33f3c606ddb9e6a0403586e89ada590f7dd48254a2fe854b48bff589be	56	0	1	UNTRANSLATED	
